Rooms,Square,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Helthcare_2,Shops_1,Shops_2,Price,LifePart,Square_type_0,Square_type_1,Square_type_2
3.0,73.6122247317727,4,9.0,1979,0.037177818,0,0,52,11217,1,1,7,0,89084.32787608178,8.982014914058785,1,0,0
2.0,49.360647800323534,6,5.0,1983,0.051815435,0,0,5,1227,0,0,0,0,117000.381286696,6.398792709401483,0,0,1
2.0,57.96996422253015,6,14.0,2001,0.069753361,0,0,53,13670,4,1,11,0,231828.43766693235,3.55694251502792,1,0,0
1.0,44.51348081256669,6,12.0,1983,0.133215333,0,0,49,11395,3,3,4,1,183743.23046424173,2.889177891821725,0,0,1
3.0,110.95979224728354,16,25.0,2012,0.000991363,0,0,33,6783,3,1,9,0,394895.3259868009,5.18152408193832,0,1,0
3.0,103.60529197422832,12,17.0,2002,0.319809354,0,0,25,4756,16,5,8,0,521919.0573998705,4.779942626246951,0,1,0
2.0,64.71183493873933,15,1.0,1977,0.2114012139999999,0,0,9,1892,0,0,1,0,127200.02651097004,63.71183493873933,1,0,0
1.0,41.66864965650633,19,22.0,1996,0.041124634,0,0,46,9515,5,1,10,0,215083.96905610108,2.0207761889892915,0,0,1
3.0,118.90761184257369,2,13.0,1977,0.006076152,0,0,30,5285,0,6,6,0,571069.0526003882,6.1003217980947,0,1,0
3.0,62.18053598937177,4,5.0,1964,0.020741326,0,0,24,5613,5,2,5,0,241718.0995266293,8.83393881508147,1,0,0
2.0,82.66791473448255,16,17.0,1977,0.075778755,0,0,6,1437,3,0,2,0,244145.82706857228,81.66791473448255,0,1,0
3.0,106.95887123511147,17,13.0,2018,0.072157581,0,0,2,629,1,0,0,1,337299.8679364438,0.10697035129702474,0,1,0
2.0,64.55620925344805,8,17.0,1977,0.075778755,0,0,6,1437,3,0,2,0,173910.92372317292,63.556209253448046,1,0,0
1.0,42.530043258688565,3,9.0,2014,0.034656082,0,0,0,168,0,0,0,0,95338.19854860756,43.96775892567469,0,0,1
2.0,48.37223191245333,4,9.0,1972,0.0001696759999999,0,0,36,5992,0,1,1,0,213374.1664030486,5.167930246437439,0,0,1
2.0,39.43535081853332,9,9.0,1965,0.007658515,0,0,35,7077,56,3,19,0,283877.6171417454,3.3396695698159213,0,0,1
1.0,41.7651555000357,12,16.0,1984,0.300322518,0,0,52,10311,6,1,9,0,189007.2389442105,2.1492428530182885,0,0,1
2.0,63.67911598308709,9,15.0,1977,0.017647053,0,0,2,469,0,0,0,0,178721.7063373904,37.275774657400376,1,0,0
1.0,34.767226881668705,7,9.0,1972,0.036122292,0,0,24,4378,0,1,1,0,154928.80993818038,3.034941350256091,0,0,1
2.0,42.17678220950819,2,5.0,1965,0.265088676,0,0,37,5288,0,3,2,0,176344.82040566398,5.617137987570639,0,0,1
3.0,85.28038875664878,6,5.0,1960,0.0,0,0,33,7425,1,2,5,0,402871.9163172412,6.494218575451395,0,1,0
1.0,41.11876598003856,4,17.0,1977,0.075778755,0,0,6,1437,3,0,2,0,103510.22360146276,40.11876598003856,0,0,1
2.0,43.70166178867073,5,9.0,1961,0.0150168919999999,0,0,17,3079,59,0,8,0,287056.01254272985,5.2700716498046205,0,0,1
3.0,77.8739361356098,9,25.0,2012,0.0,0,0,36,6714,2,0,2,0,191550.1213566216,4.082594408285041,0,1,0
2.0,60.503248324677,16,13.0,1977,0.034656082,0,0,0,168,0,0,0,0,229778.0579017187,9.0838747207795,1,0,0
2.0,45.25713880537702,4,5.0,1971,0.033493708,0,0,66,10573,1,3,8,0,171266.94942738526,6.522765140023795,0,0,1
3.0,58.4198155580721,5,5.0,1963,0.225824954,1,0,41,6558,7,3,2,0,197456.9208142761,7.455122784126236,1,0,0
2.0,56.49431782042168,9,17.0,1977,0.0071223169999999,0,0,1,264,0,0,1,0,196078.90728935655,9.120594838871492,1,0,0
2.0,58.692132931238426,16,17.0,1977,0.075778755,0,0,6,1437,3,0,2,0,184501.01122512695,57.692132931238426,1,0,0
3.0,104.21139562017449,20,13.0,2017,0.060753049,0,0,15,2787,2,0,7,0,435462.0480700058,16.36856593669575,0,1,0
2.0,48.85174210675612,5,5.0,1970,0.194489265,0,0,47,8004,3,3,5,0,183826.3165224307,6.706686421172608,0,0,1
2.0,49.92948862213306,9,12.0,1977,0.034656082,0,0,0,168,0,0,0,0,88464.4253950588,48.92948862213306,0,0,1
1.0,41.53813827372754,7,16.0,1981,0.0144231139999999,0,0,19,3806,4,0,3,0,234052.2655266131,2.911616822611109,0,0,1
1.0,47.08010024748141,3,9.0,1977,0.014072961,0,0,2,475,0,0,0,0,96029.1678773352,3.9006657661671227,0,0,1
1.0,41.27061351984075,8,14.0,2003,0.195781053,0,0,23,5212,6,3,2,0,214733.34225833853,2.9222779057650654,0,0,1
1.0,35.39023537965956,3,5.0,1963,0.21843974,0,0,21,4472,6,4,7,1,172795.8670771811,4.335117890392377,0,0,1
1.0,35.28089402875877,11,9.0,1971,0.282797669,0,0,33,8667,2,0,6,0,148862.21017433386,3.8923627057791585,0,0,1
2.0,61.400054374659,17,22.0,2016,0.0071223169999999,0,0,1,264,0,0,1,0,199215.45222932717,10.870767132737107,1,0,0
1.0,31.893483476039908,3,14.0,1973,0.175054867,0,0,36,10055,3,1,0,0,182946.36203104112,2.992381507890363,0,0,1
1.0,42.41417613853096,14,17.0,1977,0.0071223169999999,0,0,1,264,0,0,1,0,156476.61434830475,41.41417613853096,0,0,1
3.0,60.49673620327934,4,9.0,1980,0.041124634,0,0,46,9515,5,1,10,0,276349.9122838608,6.45032214437908,1,0,0
2.0,54.47743204165913,14,22.0,1991,0.150817539,0,0,16,3433,4,4,5,0,279119.9134223016,4.449920599395499,1,0,0
2.0,56.21870163187176,3,3.0,1977,0.005767451,0,0,1,388,0,0,0,0,90303.66568299792,55.21870163187176,1,0,0
1.0,38.007936217693626,1,12.0,1970,0.118537385,0,0,30,6207,1,1,0,0,147636.76035604486,2.586857091129818,0,0,1
2.0,57.32249447212715,5,16.0,1980,0.0001696759999999,0,0,36,5992,0,1,1,0,242402.234569005,3.178800632302188,1,0,0
2.0,47.31752643089487,6,12.0,1975,0.127375905,0,0,43,8429,3,3,9,0,207641.6759898469,5.183419461960635,0,0,1
2.0,65.02389875686265,10,17.0,1977,0.0071223169999999,0,0,1,264,0,0,1,0,197343.7979853104,64.02389875686265,1,0,0
2.0,54.78732376431341,1,12.0,1978,6.99893e-05,0,0,46,10309,1,1,16,0,100471.95261307228,4.189017859929317,1,0,0
1.0,42.50553193590355,6,12.0,2014,0.2432045189999999,0,0,5,1564,0,0,0,0,113617.2195706784,41.50553193590355,0,0,1
2.0,64.14115197487071,5,17.0,1977,0.371148999,0,0,34,7065,1,2,5,0,158148.93648361234,63.14115197487071,1,0,0
1.0,41.19418849786451,6,13.0,1977,0.072157581,0,0,2,629,1,0,0,1,114063.0920409234,5.865698082977418,0,0,1
2.0,57.95597269122313,17,17.0,2001,0.151346216,0,1,32,5889,10,4,1,0,339414.5500190396,3.5858420444885675,1,0,0
2.0,45.96488978915266,7,5.0,1963,0.133215333,0,0,49,11395,3,3,4,1,180538.89892241484,5.8282423632347555,0,0,1
1.0,42.67884386982604,14,12.0,1983,6.99893e-05,0,0,46,10309,1,1,16,0,179784.4733339991,2.9898292541932405,0,0,1
2.0,64.92910276079539,15,17.0,2016,0.072157581,0,0,2,629,1,0,0,1,228584.00107195403,6.330460517784749,1,0,0
2.0,79.22704893716298,9,13.0,1977,0.072157581,0,0,2,629,1,0,0,1,167023.97314312926,12.20450815619383,0,1,0
2.0,84.68773160202026,12,17.0,2017,0.075778755,0,0,6,1437,3,0,2,0,243479.876105312,13.650925272696007,0,1,0
1.0,52.45758937232919,18,17.0,1977,0.075778755,0,0,6,1437,3,0,2,0,160292.1637018166,8.737224092684015,1,0,0
1.0,39.42966643301249,2,16.0,1981,0.16909109,0,0,19,3856,10,2,5,0,174952.64419069275,2.057748080481981,0,0,1
2.0,63.18442201310369,17,17.0,2016,0.2432045189999999,0,0,5,1564,0,0,0,0,190762.98155043615,61.142893772269815,1,0,0
1.0,50.2991671506794,11,16.0,2006,0.136244425,0,0,11,2370,0,0,1,0,197101.04908793507,2.7055115601999997,0,0,1
1.0,47.90932737998547,2,1.0,2016,0.069753361,0,0,53,13670,4,1,11,0,181167.64240357088,42.78238540963263,0,0,1
4.0,65.55983414534953,6,9.0,1976,0.037177818,0,0,52,11217,1,1,7,0,266989.0161418366,7.9493758253827815,1,0,0
1.0,39.24892718662953,13,17.0,2009,0.007658515,0,0,35,7077,56,3,19,0,254236.325085562,3.0846178639794424,0,0,1
1.0,39.25255481200749,1,16.0,1985,0.000991363,0,0,33,6783,3,1,9,0,184737.9210694037,2.7706072462715174,0,0,1
2.0,49.88874002058505,9,12.0,1974,0.0,0,0,23,3684,2,0,4,0,261086.02440592507,5.2672750775270005,0,0,1
2.0,62.78380934113364,5,10.0,1994,0.041116354,0,0,53,14892,4,1,4,0,259293.02212247785,3.5222368111513256,1,0,0
2.0,58.43360726566507,3,14.0,1970,0.210473241,0,0,11,2398,2,3,0,0,116661.59548998011,3.8858736628266763,1,0,0
2.0,61.71855284835026,10,11.0,2000,0.0,0,0,30,5562,0,0,5,1,267609.8272514647,3.30401150131786,1,0,0
1.0,42.5012260708919,2,12.0,1979,0.194489265,0,0,47,8004,3,3,5,0,153038.21948532813,2.8644668380672638,0,0,1
2.0,54.58323128280291,2,9.0,2000,0.041116354,0,0,53,14892,4,1,4,0,238779.4476509319,3.029118389903461,1,0,0
3.0,127.48158341963554,16,1.0,2012,0.3139245519999999,0,0,22,4625,11,2,10,0,510700.4447348914,36.6019307885682,0,1,0
2.0,47.14562641451781,11,9.0,1976,0.127375905,0,0,43,8429,3,3,9,0,210364.3147189588,6.147656827646271,0,0,1
2.0,48.07704110377844,5,9.0,1968,0.175054867,0,0,36,10055,3,1,0,0,198183.0769195046,5.767023320261655,0,0,1
2.0,52.08218293973108,7,17.0,1994,0.0,0,0,27,4798,0,2,8,0,243824.7929712899,4.252132181620317,1,0,0
2.0,50.29076173681866,12,12.0,1973,0.089039719,0,0,33,7976,5,0,11,0,242107.0978653341,5.410134906751732,0,0,1
2.0,49.03078774789541,2,5.0,1964,0.306977489,0,0,27,5148,14,5,7,0,212786.0017001436,3.9898619532220487,0,0,1
3.0,58.57037093462772,4,5.0,1961,0.341071945,0,0,27,5664,48,3,11,0,305732.5862953504,7.486825196274323,1,0,0
1.0,34.19820977216433,7,9.0,1973,0.4288258179999999,0,0,25,5011,8,0,2,0,156375.02000227175,3.4968545807155262,0,0,1
3.0,74.97105425768765,16,17.0,1987,0.0,0,0,23,5067,4,2,6,0,415398.57303062605,4.623924761599082,0,1,0
2.0,61.33496777880346,26,1.0,2014,0.069753361,0,0,53,13670,4,1,11,0,286564.4419718113,4.091944920685359,1,0,0
2.0,58.93727974313555,2,7.0,1998,0.041116354,0,0,53,14892,4,1,4,0,217349.25658949924,3.158188163021899,1,0,0
3.0,63.728236554474776,9,9.0,1971,0.149666373,0,0,22,4789,2,4,1,0,291058.0808994419,6.493489188610592,1,0,0
1.0,41.84569772836166,14,17.0,1977,0.075778755,0,0,6,1437,3,0,2,0,110620.6293204901,40.84569772836166,0,0,1
1.0,33.646711450929125,8,9.0,1975,0.300322518,0,0,52,10311,6,1,9,0,165018.9484643495,4.284710596010511,0,0,1
1.0,50.61776843485736,10,24.0,1977,0.0071223169999999,0,0,1,264,0,0,1,0,175188.95821584578,46.50567613406383,0,0,1
2.0,62.96990315347616,14,14.0,2014,0.0071223169999999,0,0,1,264,0,0,1,0,92127.0617882676,3.1745610553954693,1,0,0
2.0,58.91191808519165,12,17.0,2005,0.0,0,0,47,11319,0,3,5,0,274570.7175007904,3.7346934571843002,1,0,0
2.0,48.76013224783535,3,3.0,1977,0.034656082,0,0,0,168,0,0,0,0,113250.4265003472,47.76013224783535,0,0,1
2.0,62.34715418212179,6,1.0,1977,0.161531741,0,0,25,5648,1,2,4,0,184172.97563930124,61.34715418212179,1,0,0
2.0,53.18796830353498,7,17.0,1990,0.025609157,0,0,33,5261,0,3,1,0,241419.59687217,4.352562243860096,1,0,0
3.0,64.0151002560132,10,12.0,1984,0.133215333,0,0,49,11395,3,3,4,1,270071.61951510777,7.307142032084076,1,0,0
3.0,61.80902159655469,2,9.0,1972,0.0150168919999999,0,0,17,3079,59,0,8,0,378581.5411997035,6.74078754670816,1,0,0
2.0,62.22456919797416,8,17.0,2016,0.017647053,0,0,2,469,0,0,0,0,192625.0493997445,58.5039850086156,1,0,0
2.0,45.59291291275085,3,9.0,1981,0.002211665,0,0,39,7614,3,1,5,1,201121.07053639015,4.546409900568105,0,0,1
1.0,35.683059286946204,12,12.0,1977,0.4288258179999999,0,0,25,5011,8,0,2,0,150513.47488734513,2.666033581048417,0,0,1
2.0,39.900424683233375,12,14.0,1982,0.282797669,0,0,33,8667,2,0,6,0,204804.84335521163,4.412870517527451,0,0,1
3.0,65.68346852974332,11,12.0,1977,0.020741326,0,0,24,5613,5,2,5,0,313452.5352345641,6.219046067686932,1,0,0
1.0,42.145274302242434,3,14.0,1984,0.265088676,0,0,37,5288,0,3,2,0,225889.6912453254,2.130455608889669,0,0,1
2.0,42.389567415418014,1,5.0,1963,0.0,0,0,7,1660,39,1,5,0,224746.81185663465,6.6129670881482925,0,0,1
2.0,60.44585456445121,13,1.0,1977,0.072157581,0,0,2,629,1,0,0,1,213798.18515132743,59.44585456445121,1,0,0
1.0,44.570412123654016,18,24.0,2011,0.0922906419999999,0,0,21,4346,2,1,2,0,212821.6747251237,1.9485741143328703,0,0,1
2.0,65.00927913436702,9,17.0,1977,0.0071223169999999,0,0,1,264,0,0,1,0,186403.4841889536,64.00927913436702,1,0,0
3.0,76.23513674330522,9,17.0,1997,0.0,0,0,30,5562,0,0,5,1,293371.9575586355,4.700181729665372,0,1,0
1.0,42.367288692851375,16,14.0,2015,0.195781053,0,0,23,5212,6,3,2,0,250466.9807768161,40.012528663007295,0,0,1
4.0,98.6867031290387,10,17.0,2008,0.158249043,0,0,21,5731,0,1,0,0,373510.0571282724,3.8204705208642897,0,1,0
3.0,60.4381691785688,5,5.0,1965,0.212515361,0,0,19,3293,16,3,7,0,269680.638174428,8.793570151722562,1,0,0
1.0,43.44426635232809,18,17.0,2010,0.020741326,0,0,24,5613,5,2,5,0,168601.97480454494,2.5878011119194,0,0,1
3.0,85.95230644639722,4,3.0,2017,0.069753361,0,0,53,13670,4,1,11,0,309688.5926806599,89.80375267249289,0,1,0
2.0,74.44137733392218,23,25.0,2004,0.000991363,0,0,33,6783,3,1,9,0,435909.1097547888,3.9600298904488946,0,1,0
2.0,55.2332130691251,13,17.0,1977,0.0071223169999999,0,0,1,264,0,0,1,0,184324.9008862336,54.2332130691251,1,0,0
2.0,61.502134430937154,5,17.0,1985,0.019508796,0,0,37,7687,11,5,5,0,354879.40318376414,3.312142623794768,1,0,0
2.0,43.771829534570266,3,9.0,1968,0.118537385,0,0,30,6207,1,1,0,0,203425.39606435495,6.648433440655802,0,0,1
3.0,60.15940612151951,4,9.0,1968,0.309479124,0,0,35,7715,4,0,6,0,317296.30529966415,9.270905343702562,1,0,0
1.0,65.10201679019049,10,9.0,2015,0.2432045189999999,0,0,5,1564,0,0,0,0,175899.97828362975,64.62260302448165,1,0,0
1.0,35.99013769288014,1,9.0,1978,0.041116354,0,0,53,14892,4,1,4,0,155312.29482522552,18.12583002371395,0,0,1
3.0,89.6929642467968,13,1.0,1977,0.072157581,0,0,2,629,1,0,0,1,265978.8377804947,87.62381427680403,0,1,0
3.0,110.20396948700356,19,28.0,2007,0.019508796,0,0,37,7687,11,5,5,0,146061.7305650271,4.939225189696313,0,1,0
2.0,45.923672661582266,3,5.0,1967,0.486245621,0,0,13,2514,19,0,6,0,176480.46517329663,5.235550556569817,0,0,1
2.0,65.49667436641931,5,17.0,1977,0.2432045189999999,0,0,5,1564,0,0,0,0,180727.64354109476,5.589323580442588,1,0,0
1.0,42.19894558704248,16,22.0,1987,0.037177818,0,0,52,11217,1,1,7,0,87182.52338492699,2.079483592437431,0,0,1
2.0,92.40000684071424,2,5.0,1977,0.07542368,0,0,11,3097,0,0,0,0,116942.67104480596,9.206923622776028,0,1,0
1.0,40.812877553246935,10,22.0,1999,0.0,0,0,23,5067,4,2,6,0,292718.31260052294,2.309788779329753,0,0,1
2.0,62.30129218800013,11,12.0,2008,0.151346216,0,1,32,5889,10,4,1,0,427526.0036151234,3.0388568968400405,1,0,0
2.0,63.672610618053405,11,17.0,1977,0.0071223169999999,0,0,1,264,0,0,1,0,194510.14788951524,62.672610618053405,1,0,0
1.0,33.25798132827507,7,9.0,1967,0.178916796,0,0,18,3594,4,1,5,0,201616.2738975917,3.6362885791165125,0,0,1
3.0,78.47198680838288,6,5.0,1957,0.151346216,0,1,32,5889,10,4,1,0,419692.9780338244,6.588352943866255,0,1,0
2.0,45.58698248918699,5,5.0,1962,0.298204575,0,0,16,4048,3,1,3,0,177434.7589711046,6.936477096198002,0,0,1
1.0,50.1451762027309,8,12.0,1977,0.075778755,0,0,6,1437,3,0,2,0,171901.0874084269,49.1451762027309,0,0,1
1.0,40.11736379193481,5,22.0,1982,0.0,0,0,25,5027,4,1,1,0,239038.59002294776,2.1391897654599497,0,0,1
2.0,60.366625674269216,20,19.0,2017,0.069753361,0,0,53,13670,4,1,11,0,241737.8084974161,5.770914937562125,1,0,0
2.0,71.3047632136293,13,20.0,1977,0.072157581,0,0,2,629,1,0,0,1,170564.40872038715,70.3047632136293,1,0,0
3.0,92.8855438693015,7,17.0,2015,0.072157581,0,0,2,629,1,0,0,1,206780.54887701644,7.049403782055393,0,1,0
1.0,37.47019524242762,12,17.0,1993,0.069753361,0,0,53,13670,4,1,11,0,187899.22196065105,3.0693996114402924,0,0,1
1.0,37.98575172539788,8,16.0,1974,0.521867054,0,0,25,6149,0,0,0,0,137656.12292446892,2.2380109671036887,0,0,1
2.0,69.80461247985367,13,16.0,2014,0.188783766,0,0,31,6137,4,0,1,0,465067.0658834223,2.819138340363827,1,0,0
1.0,40.09075455020088,6,16.0,1980,0.093442564,0,0,23,4635,5,2,4,0,145941.55533360448,2.799237276407928,0,0,1
2.0,57.69961907981183,2,1.0,1977,0.034656082,0,0,0,168,0,0,0,0,114168.53270326483,4.769961907981183,1,0,0
1.0,51.83147294769088,5,1.0,2015,0.072157581,0,0,2,629,1,0,0,1,131797.47228439266,53.49130060550926,1,0,0
1.0,44.64789756749945,9,25.0,1977,0.075778755,0,0,6,1437,3,0,2,0,123749.81125374604,41.555841756681,0,0,1
1.0,47.577279537654775,6,1.0,1977,0.072157581,0,0,2,629,1,0,0,1,128813.57022387734,43.12350833882252,0,0,1
2.0,44.51140745026622,6,5.0,1960,0.122190486,0,0,25,4724,2,1,3,0,189407.27604070996,5.969492453508694,0,0,1
3.0,70.21457474548518,3,1.0,2017,0.005767451,0,0,1,388,0,0,0,0,111389.48105876287,5.4848983363542025,1,0,0
3.0,51.9910643544554,22,25.0,1977,0.072157581,0,0,2,629,1,0,0,1,174687.5661862937,4.896201920014865,1,0,0
1.0,44.03852399189158,15,22.0,1982,0.037177818,0,0,52,11217,1,1,7,0,202321.23147284004,40.43580444491609,0,0,1
1.0,66.41984149373266,2,1.0,1977,0.2432045189999999,0,0,5,1564,0,0,0,0,193361.2298149829,3.98710087947258,1,0,0
1.0,54.25519113954791,5,3.0,2017,0.072157581,0,0,2,629,1,0,0,1,147040.22612039236,8.522536424132888,1,0,0
2.0,45.22268973027529,6,9.0,1968,0.000995363,0,0,42,7651,1,1,5,0,186508.208564838,6.697188564229809,0,0,1
2.0,47.01806447731696,7,9.0,1971,0.012338886,0,0,35,5776,1,2,4,0,218392.93428619305,4.771445978075518,0,0,1
2.0,57.63916715391909,3,9.0,1999,0.041116354,0,0,53,14892,4,1,4,0,144400.25776795662,4.360390736170275,1,0,0
2.0,54.4778683522394,7,12.0,1983,6.99893e-05,0,0,46,10309,1,1,16,0,224277.83102613143,4.168560294829489,1,0,0
2.0,56.384773305431374,4,12.0,1983,0.133215333,0,0,49,11395,3,3,4,1,213877.5597629005,3.8213936225137424,1,0,0
2.0,71.0055747817242,11,9.0,1977,0.0071223169999999,0,0,1,264,0,0,1,0,245130.10663746108,10.834262463620702,1,0,0
2.0,47.69890152322699,4,5.0,1962,0.195781053,0,0,23,5212,6,3,2,0,189565.89794984864,6.537140030566519,0,0,1
2.0,49.28520088966932,7,12.0,1977,0.298204575,0,0,16,4048,3,1,3,0,204117.83359830943,5.307955483203327,0,0,1
3.0,81.46790925974453,19,17.0,2010,0.035145267,0,0,42,9292,3,0,3,0,477665.5829146461,7.664618193917564,0,1,0
1.0,32.827650993401186,1,9.0,1966,0.371148999,0,0,34,7065,1,2,5,0,120670.10176628391,3.6140508414830563,0,0,1
2.0,56.92211600924483,13,16.0,1981,0.101872465,0,0,23,4583,3,3,3,0,254013.43464408853,3.841804021189436,1,0,0
1.0,47.17718354022401,5,4.0,1977,0.07542368,0,0,11,3097,0,0,0,0,109264.47414521917,46.17718354022401,0,0,1
2.0,67.17058663420276,11,17.0,1977,0.2432045189999999,0,0,5,1564,0,0,0,0,192944.37932373295,66.17058663420276,1,0,0
3.0,82.51591138174317,5,1.0,1977,0.017647053,0,0,2,469,0,0,0,0,207858.57125868363,45.37602404382972,0,1,0
2.0,53.747253909003085,6,22.0,1984,0.0077202819999999,0,0,38,4788,2,0,4,0,238623.88884125443,4.217508214342154,1,0,0
2.0,62.64038950680821,5,17.0,2015,0.072157581,0,0,2,629,1,0,0,1,190968.190689039,3.4998513481644244,1,0,0
1.0,29.298167568168665,7,5.0,1964,0.133215333,0,0,49,11395,3,3,4,1,148991.2652001697,5.954156782308992,0,0,1
1.0,36.805826133939824,10,12.0,1974,0.161975568,0,1,31,7010,5,3,7,0,183891.14730105456,2.5694305830470583,0,0,1
3.0,54.52682068461061,3,9.0,1976,0.300322518,0,0,52,10311,6,1,9,0,245215.47730896936,6.483987769419713,1,0,0
2.0,54.3866676791685,11,12.0,1978,0.100455735,0,0,43,7227,0,1,6,1,269995.0027797259,4.288196805858361,1,0,0
2.0,64.22269387492523,16,17.0,1977,0.371148999,0,0,34,7065,1,2,5,0,194618.91775709105,63.22269387492523,1,0,0
2.0,47.91700922770607,5,5.0,1965,0.036122292,0,0,24,4378,0,1,1,0,169711.36768165938,6.47120240129172,0,0,1
1.0,48.74366486619844,12,20.0,2017,0.075778755,0,0,6,1437,3,0,2,0,165071.82572182963,51.01123215962079,0,0,1
3.0,67.63260672812788,8,9.0,1973,0.002211665,0,0,39,7614,3,1,5,1,243008.1393059241,6.26680292808286,1,0,0
3.0,70.22360431225314,3,8.0,1955,0.2001468019999999,0,0,23,3975,8,2,0,0,527120.8365334661,3.426183898590944,1,0,0
2.0,42.58151161541346,7,14.0,1973,0.175054867,0,0,36,10055,3,1,0,0,217099.77313127727,4.145472289849077,0,0,1
1.0,41.07619268196986,14,17.0,2000,0.333891544,0,0,30,6564,1,0,0,0,184156.11565779167,2.949029036287594,0,0,1
2.0,47.80222779023652,5,12.0,1975,0.521867054,0,0,25,6149,0,0,0,0,162335.0140342568,5.423687594586383,0,0,1
1.0,33.68237635813288,10,9.0,1973,0.4288258179999999,0,0,25,5011,8,0,2,0,143120.9047238132,3.600250485204347,0,0,1
2.0,42.54009352292711,12,12.0,1971,0.460556389,0,0,20,4386,14,1,5,0,208662.67612332516,4.610486366838095,0,0,1
3.0,92.26619160498691,4,17.0,2005,0.21843974,0,0,21,4472,6,4,7,1,295004.8656963223,4.5639738786847746,0,1,0
1.0,38.89234657283961,8,16.0,2005,0.041116354,0,0,53,14892,4,1,4,0,173331.29890816894,1.7533507100618162,0,0,1
2.0,67.6776032795015,11,16.0,2016,0.072157581,0,0,2,629,1,0,0,1,159654.0583783081,66.6776032795015,1,0,0
2.0,76.31285054725404,14,13.0,1977,0.006076152,0,0,30,5285,0,6,6,0,466730.8053327907,11.71880842454234,0,1,0
3.0,91.90401514440288,6,5.0,1937,0.130617806,0,0,39,10418,9,1,9,0,309690.98158393835,8.977102238775396,0,1,0
1.0,38.755406718524576,2,14.0,1978,0.08761909,0,0,8,1497,5,1,0,0,91600.74197793,2.288283157802865,0,0,1
3.0,80.03033041968777,16,17.0,1992,0.090799103,0,0,74,19083,2,5,15,0,311528.10086342023,4.780159881162641,0,1,0
2.0,59.96722996245699,10,25.0,2007,0.161975568,0,1,31,7010,5,3,7,0,161307.51198226758,4.826178771149731,1,0,0
2.0,59.77754076157098,20,22.0,1999,0.225824954,1,0,41,6558,7,3,2,0,244351.4102361528,3.5163279274023203,1,0,0
2.0,49.830081678565854,9,9.0,1980,0.130617806,0,0,39,10418,9,1,9,0,254573.5678844734,5.69732573102285,0,0,1
2.0,62.68807707320569,8,18.0,2004,0.246031548,0,1,22,3151,4,3,3,0,260776.9137974053,3.520026729409598,1,0,0
3.0,88.49139704169184,11,1.0,1977,0.072157581,0,0,2,629,1,0,0,1,212527.4265195844,87.49139704169184,0,1,0
1.0,39.554283412487294,13,25.0,2007,0.371148999,0,0,34,7065,1,2,5,0,179476.8104947333,3.144679761003637,0,0,1
2.0,74.2140900115795,8,17.0,1977,0.072157581,0,0,2,629,1,0,0,1,183038.511216672,73.2140900115795,0,1,0
3.0,82.98372191646696,13,17.0,1977,0.2432045189999999,0,0,5,1564,0,0,0,0,222592.1768936081,81.98372191646696,0,1,0
